,Virar,Vasai,Borivali,Kandivali,Malad,Goregaon,Andheri,Santazruz,Airport,Bandra,Dadar,Mumbai Central,Marine Lines,Churchgate,CSMT,Kurla,Thane,Vashi,Panvel,Dombivali,Kalyan,Badlapur,Karjat,Khopoli
Virar,0,8,46,48,49,52,59,62,63,68,71,77,80,82,89,78,98,117,138,124,121,141,176,198
Vasai,8,0,25,28,30,33,38,42,45,46,61,84,87,88,89,69,86,82,102,107,116,136,171,193
Borivali,46,25,0,2,3,6,13,16,17,22,25,31,34,36,43,32,52,71,92,78,75,95,130,152
Kandivali,48,28,2,0,1,4,11,14,15,20,23,29,32,34,41,30,50,69,90,76,73,93,128,150
Malad,49,30,3,1,0,3,10,13,14,19,22,28,31,33,40,29,49,68,89,75,72,92,127,149
Goregaon,52,33,6,4,3,0,7,10,11,16,19,25,28,30,37,26,46,65,86,72,69,89,124,146
Andheri,59,38,13,11,10,7,0,3,4,9,12,18,21,23,30,19,39,58,79,65,62,82,117,139
Santazruz,62,42,16,14,13,10,3,0,1,6,9,15,18,20,27,16,36,55,76,62,59,79,114,136
Airport,63,45,17,15,14,11,4,1,0,5,8,14,17,19,26,15,35,54,75,61,58,78,113,135
Bandra,68,46,22,20,19,16,9,6,5,0,3,9,12,14,21,10,30,49,70,56,53,73,108,130
Dadar,71,61,25,23,22,19,12,9,8,3,0,6,9,11,18,7,27,46,67,53,50,70,105,127
Mumbai Central,77,84,31,29,28,25,18,15,14,9,6,0,3,5,12,1,21,40,61,47,44,64,99,121
Marine Lines,80,87,34,32,31,28,21,18,17,12,9,3,0,2,9,2,18,37,58,44,41,61,96,118
Churchgate,82,88,36,34,33,30,23,20,19,14,11,5,2,0,7,4,16,35,56,42,39,59,94,116
CSMT,89,89,43,41,40,37,30,27,26,21,18,12,9,7,0,11,9,28,49,35,32,52,87,109
Kurla,78,69,32,30,29,26,19,16,15,10,7,1,2,4,11,0,20,39,60,46,43,63,98,120
Thane,98,86,52,50,49,46,39,36,35,30,27,21,18,16,9,20,0,19,40,26,23,43,78,100
Vashi,117,82,71,69,68,65,58,55,54,49,46,40,37,35,28,39,19,0,21,7,4,24,59,81
Panvel,138,102,92,90,89,86,79,76,75,70,67,61,58,56,49,60,40,21,0,14,17,3,38,60
Dombivali,124,107,78,76,75,72,65,62,61,56,53,47,44,42,35,46,26,7,14,0,3,17,52,74
Kalyan,121,116,75,73,72,69,62,59,58,53,50,44,41,39,32,43,23,4,17,3,0,20,55,77
Badlapur,141,136,95,93,92,89,82,79,78,73,70,64,61,59,52,63,43,24,3,17,20,0,35,57
Karjat,176,171,130,128,127,124,117,114,113,108,105,99,96,94,87,98,78,59,38,52,55,35,0,22
Khopoli,198,193,152,150,149,146,139,136,135,130,127,121,118,116,109,120,100,81,60,74,77,57,22,0